temperature,humidity,light,timestamp
26.2,81.0,0,2026-01-01 21:47:49.301000+05:30
26.2,81.0,0,2026-01-01 21:42:47.425000+05:30
26.2,81.0,0,2026-01-01 21:37:45.690000+05:30
26.7,81.0,0,2026-01-01 21:32:44.140000+05:30
26.7,80.0,0,2026-01-01 21:27:42.660000+05:30
26.7,80.0,0,2026-01-01 21:22:40.805000+05:30
26.7,78.0,0,2026-01-01 21:17:38.724000+05:30
26.7,77.0,0,2026-01-01 21:12:36.963000+05:30
27.1,77.0,0,2026-01-01 21:07:35.278000+05:30
27.1,75.0,0,2026-01-01 21:02:33.682000+05:30
27.1,73.0,0,2026-01-01 20:57:30.903000+05:30
27.6,73.0,0,2026-01-01 20:52:29.002000+05:30
27.6,73.0,0,2026-01-01 20:47:27.159000+05:30
28.0,72.0,0,2026-01-01 20:42:25.342000+05:30
28.0,72.0,0,2026-01-01 20:37:23.521000+05:30
28.0,71.0,0,2026-01-01 20:32:20.582000+05:30
28.1,71.0,0,2026-01-01 20:27:18.982000+05:30
28.5,71.0,0,2026-01-01 20:22:17.226000+05:30
28.5,70.0,0,2026-01-01 20:17:15.226000+05:30
28.5,70.0,0,2026-01-01 20:12:13.273000+05:30
28.5,69.0,0,2026-01-01 20:07:11.481000+05:30
28.5,68.0,0,2026-01-01 20:02:09.302000+05:30
28.5,67.0,0,2026-01-01 19:57:07.427000+05:30
28.5,66.0,0,2026-01-01 19:52:05.660000+05:30
28.5,67.0,0,2026-01-01 19:47:03.786000+05:30
28.5,66.0,0,2026-01-01 19:42:02.097000+05:30
28.5,67.0,0,2026-01-01 19:37:00.540000+05:30
28.5,68.0,0,2026-01-01 19:31:58.842000+05:30
28.5,68.0,0,2026-01-01 19:26:57.188000+05:30
28.5,70.0,0,2026-01-01 19:21:55.605000+05:30
28.5,71.0,0,2026-01-01 19:16:53.821000+05:30
28.5,71.0,0,2026-01-01 19:11:52.062000+05:30
28.5,71.0,0,2026-01-01 19:06:50.383000+05:30
28.5,71.0,0,2026-01-01 19:01:48.697000+05:30
28.5,71.0,0,2026-01-01 18:56:47.109000+05:30
28.5,71.0,0,2026-01-01 18:51:44.945000+05:30
28.5,71.0,0,2026-01-01 18:46:42.963000+05:30
28.5,71.0,0,2026-01-01 18:41:40.663000+05:30
28.5,70.0,0,2026-01-01 18:36:38.806000+05:30
28.5,71.0,0,2026-01-01 18:31:37.103000+05:30
28.5,71.0,114,2026-01-01 18:26:35.486000+05:30
28.5,71.0,320,2026-01-01 18:21:33.680000+05:30
28.5,71.0,475,2026-01-01 18:16:32.180000+05:30
28.5,70.0,677,2026-01-01 18:11:30.720000+05:30
28.5,71.0,1023,2026-01-01 18:06:28.836000+05:30
28.9,71.0,1433,2026-01-01 18:01:27.279000+05:30
28.9,70.0,1869,2026-01-01 17:56:25.484000+05:30
28.9,69.0,2062,2026-01-01 17:51:23.881000+05:30
28.9,69.0,2320,2026-01-01 17:46:22.165000+05:30
28.9,70.0,2480,2026-01-01 17:41:20.254000+05:30
28.9,70.0,2477,2026-01-01 17:36:18.678000+05:30
28.9,70.0,2591,2026-01-01 17:31:17.116000+05:30
29.3,70.0,2662,2026-01-01 17:26:15.445000+05:30
29.3,69.0,2745,2026-01-01 17:21:13.744000+05:30
29.3,70.0,2830,2026-01-01 17:16:11.980000+05:30
29.3,69.0,2909,2026-01-01 17:11:10.321000+05:30
29.3,69.0,2983,2026-01-01 17:06:08.423000+05:30
29.3,69.0,2973,2026-01-01 17:01:06.538000+05:30
29.8,68.0,2979,2026-01-01 16:56:04.812000+05:30
29.8,68.0,3015,2026-01-01 16:51:02.928000+05:30
29.8,68.0,3061,2026-01-01 16:46:01.319000+05:30
29.8,67.0,3109,2026-01-01 16:40:59.862000+05:30
29.8,67.0,3136,2026-01-01 16:35:58.183000+05:30
29.8,67.0,3178,2026-01-01 16:30:56.431000+05:30
29.8,66.0,3204,2026-01-01 16:25:54.629000+05:30
29.8,63.0,3234,2026-01-01 16:20:52.748000+05:30
30.2,62.0,3235,2026-01-01 16:15:50.569000+05:30
30.2,61.0,3269,2026-01-01 16:10:48.687000+05:30
30.2,62.0,3278,2026-01-01 16:05:46.724000+05:30
30.2,62.0,3301,2026-01-01 16:00:45.134000+05:30
30.2,61.0,3339,2026-01-01 15:55:42.972000+05:30
30.8,61.0,3343,2026-01-01 15:50:41.349000+05:30
30.2,60.0,3361,2026-01-01 15:45:39.377000+05:30
30.8,60.0,3364,2026-01-01 15:40:37.617000+05:30
30.8,59.0,3372,2026-01-01 15:35:35.548000+05:30
30.8,60.0,3328,2026-01-01 15:30:33.750000+05:30
30.8,59.0,3344,2026-01-01 15:25:31.058000+05:30
31.3,58.0,3361,2026-01-01 15:20:29.248000+05:30
31.3,60.0,3397,2026-01-01 15:15:27.523000+05:30
30.8,59.0,3440,2026-01-01 15:10:25.918000+05:30
30.8,59.0,3443,2026-01-01 15:05:24.050000+05:30
30.8,60.0,3427,2026-01-01 15:00:22.272000+05:30
30.9,61.0,3431,2026-01-01 14:55:20.497000+05:30
31.3,61.0,3435,2026-01-01 14:50:18.594000+05:30
31.3,60.0,3461,2026-01-01 14:45:16.850000+05:30
31.3,60.0,3477,2026-01-01 14:40:14.939000+05:30
31.3,61.0,3484,2026-01-01 14:35:13.117000+05:30
31.3,61.0,3478,2026-01-01 14:30:11.210000+05:30
31.3,60.0,3503,2026-01-01 14:25:09.215000+05:30
31.3,62.0,3530,2026-01-01 14:20:07.025000+05:30
31.3,63.0,3531,2026-01-01 14:15:05.156000+05:30
30.8,63.0,3541,2026-01-01 14:10:03.066000+05:30
30.8,63.0,3559,2026-01-01 14:05:00.476000+05:30
30.8,65.0,3557,2026-01-01 13:59:58.856000+05:30
30.8,65.0,3555,2026-01-01 13:54:57.023000+05:30
30.8,62.0,3503,2026-01-01 13:49:54.997000+05:30
31.3,60.0,3487,2026-01-01 13:44:53.283000+05:30
31.3,61.0,3583,2026-01-01 13:39:50.984000+05:30
31.3,62.0,3583,2026-01-01 13:34:49.320000+05:30
31.3,62.0,3613,2026-01-01 13:29:47.437000+05:30
31.3,64.0,3613,2026-01-01 13:24:45.437000+05:30
31.3,63.0,3606,2026-01-01 13:19:43.342000+05:30
31.3,63.0,3613,2026-01-01 13:14:40.856000+05:30
31.3,62.0,3630,2026-01-01 13:09:38.772000+05:30
31.3,62.0,3653,2026-01-01 13:04:36.904000+05:30
